ID del envio,Registre su tipo de empresa organizacion ciudadano,Provincia,Genero,CIIU,Tiene conocimientos de computacion y navegacion en internet,Conoce las oportunidades que el IOT (Internet de las cosas) puede aportar en su trabajo y empresa,Conoce las oportunidades que el IA (Inteligencia artificial) puede aportar en su trabajo y empresa,Conoce como utilizar herramientas de busqueda avanzada en Internet para mejorar los resultados en funcion de sus necesidades,Identifica parametros que deben cumplir las paginas web y la informacion online para considerar su confiabilidad y calidad,Clasifica la informacion mediante archivos y carpetas para facilitar su localizacion posterior,Conoce o ha utilizado servicios de alojamiento de archivos en la nube,Ha participado en consultas ciudadanas o encuestas a traves de internet (online) a propuestas de organizaciones publicas o sociales,"Usted sabe como generar un perfil publico, personal o profesional en las Redes Sociales, controlando los detalles de la imagen que quiere transmitir","Es capaz de utilizar los diferentes medios digitales para exponer de manera creativa esquemas graficos, mapas conceptuales, infografias","Sabe editar y modificar con herramientas digitales, el formato de diferentes tipos de archivo textos, fotografias, videos",Conoce los fundamentos de los procesos digitales y de la creacion de software. Entiendo los principios de la programacion,"Conoce y actua con prudencia cuando recibe mensajes cuyo remitente, contenido o archivo adjunto sea desconocido (SPAM)","Se interesa en conocer las politicas de privacidad de las plataformas que utiliza en Internet, asi como el tratamiento que hacen de sus datos personales","Se mantiene informado y actualizado sobre habitos saludables y seguros en el uso de la tecnologia, y los fomenta y los difunde","Es capaz de evaluar y elegir de manera adecuada un dispositivo, software, aplicacion o servicio para realizar sus tareas",Participa en experiencias innovadoras relacionadas con el uso de nuevas tecnologias,Conoce su nivel de competencia digital e identifica claramente sus carencias con respecto a los requisitos de su entorno laboral,Edad,Puntuacion
20324,Artesanos,Pichincha,Masculino,Construccion.,Si,No,No,Si,Si,No,No,Si,No,No,Si,Si,Si,Si,Si,No,Si,Si,42.0,104
20325,Ciudadano,Loja,Masculino,nan,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,42.0,92
20326,Microempresarios,Carchi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54.0,46
20327,Ciudadano,Loja,Prefiero no decir,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20.0,45
20329,Ciudadano,Loja,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,Si,No,No,No,No,Si,No,Si,No,No,No,No,Si,No,No,41.0,59
20331,Microempresarios,El Oro,Femenino,nan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51.0,85
20332,Ciudadano,Loja,Masculino,"Actividades profesionales, cientificas y tecnicas.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,46
20333,Ciudadano,Loja,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,36.0,56
20334,Pyme,Imbabura,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,58.0,70
20335,Artesanos,Imbabura,Femenino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,37.0,64
20336,Ciudadano,Loja,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,Si,No,No,No,No,No,No,No,No,Si,No,Si,No,No,No,30.0,52
20337,Ciudadano,Cotopaxi,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,No,No,No,No,No,38.0,52
20338,Ciudadano,Loja,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,33.0,49
20339,Ciudadano,Loja,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,43.0,47
20340,Artesanos,Imbabura,Masculino,Construccion.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51.0,67
20342,Artesanos,Manabi,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,Si,Si,No,No,No,Si,Si,No,No,No,No,No,52.0,65
20343,Ciudadano,Imbabura,Femenino,"Artes, entretenimiento y recreacion.",Si,Si,No,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,Si,No,No,Si,19.0,125
20344,Artesanos,Imbabura,Masculino,Construccion.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51.0,67
20346,Grandes empresas e industria,Guayas,Femenino,Actividades de atencion de la salud humana y de asistencia social.,Si,No,No,No,No,Si,No,Si,Si,No,No,No,Si,No,Si,No,No,Si,58.0,124
20349,Pyme,Pichincha,Femenino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,51.0,88
20351,Ciudadano,Imbabura,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,Si,Si,Si,Si,No,No,Si,No,No,No,No,58.0,98
20352,Ciudadano,Pichincha,Masculino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,26.0,78
20353,Ciudadano,Imbabura,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,No,Si,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,44.0,95
20354,Microempresarios,El Oro,Femenino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,No,Si,54.0,68
20355,Microempresarios,El Oro,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,26.0,68
20357,Artesanos,Morona-Santiago,Otro,nan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15.0,84
20358,Microempresarios,Manabi,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,56
20359,Microempresarios,Guayas,Femenino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,42.0,173
20360,Microempresarios,Manabi,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,56
20361,Ciudadano,Cotopaxi,Masculino,nan,Si,No,No,No,No,No,No,Si,Si,No,Si,No,Si,No,No,No,No,No,36.0,57
20362,Microempresarios,Pichincha,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,No,Si,No,63.0,76
20364,Ciudadano,El Oro,Femenino,nan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,75.0,44
20365,Microempresarios,Imbabura,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,No,27.0,122
20366,Microempresarios,El Oro,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,Si,Si,Si,No,No,No,No,No,No,No,No,62.0,53
20368,Ciudadano,Manabi,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,No,No,No,No,42.0,114
20370,Ciudadano,Loja,Femenino,Actividades de servicios administrativos y de apoyo.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22.0,69
20371,Microempresarios,Cotopaxi,Masculino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,No,No,No,No,No,Si,Si,No,No,Si,No,Si,Si,Si,No,No,Si,47.0,71
20372,Microempresarios,El Oro,Femenino,Otras actividades de servicios.,Si,Si,Si,No,No,No,No,No,Si,No,Si,Si,Si,No,No,No,No,No,34.0,109
20373,Ciudadano,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,Si,No,No,No,Si,No,No,No,40.0,56
20374,Organizacion de Economia Popular y Solidaria,Azuay,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,No,Si,Si,Si,No,No,Si,No,No,No,No,No,56.0,65
20375,Ciudadano,Santo Domingo de los Tsachilas,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,34.0,93
20376,Artesanos,Cotopaxi,Masculino,nan,Si,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,55.0,57
20377,Microempresarios,Cotopaxi,Masculino,Actividades de alojamiento y de servicio de comida.,Si,Si,No,No,No,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,49.0,61
20378,Ciudadano,Manabi,Masculino,Construccion.,Si,Si,No,Si,No,Si,No,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,63.0,93
20379,Microempresarios,Galapagos,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,Si,Si,No,No,Si,Si,Si,No,Si,No,No,Si,Si,No,No,44.0,99
20380,Microempresarios,El Oro,Masculino,nan,No,No,No,No,No,Si,No,No,No,No,No,No,Si,No,No,No,No,No,62.0,72
20381,Microempresarios,El Oro,Femenino,Otras actividades de servicios.,No,No,No,Si,No,No,No,Si,Si,Si,No,Si,No,Si,No,No,No,Si,40.0,94
20382,Pyme,Tungurahua,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,Si,No,Si,No,Si,Si,Si,No,No,No,23.0,63
20383,Ciudadano,Manabi,Masculino,Informacion y comunicacion.,Si,No,No,No,No,No,Si,No,No,Si,No,No,No,No,Si,No,No,No,38.0,63
20384,Ciudadano,Chimborazo,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50.0,81
20385,Microempresarios,Cotopaxi,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46.0,56
20386,Ciudadano,Los Rios,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,91.0,46
20388,Ciudadano,Guayas,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17.0,46
20389,Ciudadano,Guayas,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17.0,46
20390,Pyme,Manabi,Masculino,Actividades de alojamiento y de servicio de comida.,Si,No,Si,No,No,Si,Si,Si,No,No,No,No,No,Si,No,No,No,Si,40.0,93
20391,Microempresarios,Manabi,Masculino,"Artes, entretenimiento y recreacion.",Si,Si,Si,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,17.0,166
20392,Ciudadano,Guayas,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17.0,81
20393,Microempresarios,Guayas,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,17.0,49
20394,Ciudadano,El Oro,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32.0,49
20395,Ciudadano,Guayas,Femenino,Actividades de alojamiento y de servicio de comida.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,18.0,156
20396,Ciudadano,El Oro,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,29.0,46
20397,Microempresarios,Galapagos,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,No,Si,Si,No,66.0,119
20398,Ciudadano,El Oro,Femenino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50.0,45
20399,Ciudadano,Tungurahua,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,64.0,59
20400,Ciudadano,Tungurahua,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55.0,59
20401,Microempresarios,Chimborazo,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,Si,Si,Si,Si,Si,No,No,No,No,Si,Si,Si,Si,Si,58.0,91
20402,Ciudadano,Tungurahua,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43.0,59
20403,Ciudadano,El Oro,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,36.0,47
20404,Ciudadano,Imbabura,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,No,No,85.0,56
20405,Microempresarios,Manabi,Masculino,Construccion.,Si,No,Si,No,No,No,Si,Si,No,No,No,No,No,Si,No,Si,No,No,40.0,92
20406,Microempresarios,El Oro,Femenino,nan,Si,No,No,Si,No,No,Si,Si,No,No,Si,No,No,No,Si,No,No,No,23.0,58
20409,Microempresarios,Cotopaxi,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,No,No,No,No,No,No,Si,No,No,Si,Si,No,No,No,No,45.0,53
20410,Microempresarios,Imbabura,Femenino,Otras actividades de servicios.,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,38.0,59
20411,Artesanos,Imbabura,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,No,Si,51.0,135
20412,Microempresarios,Cotopaxi,Femenino,nan,Si,No,No,No,Si,No,No,No,Si,Si,Si,No,Si,Si,Si,No,No,Si,41.0,83
20414,Ciudadano,Imbabura,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,74.0,67
20415,Microempresarios,Esmeraldas,Femenino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42.0,52
20416,Microempresarios,El Oro,Femenino,Otras actividades de servicios.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,26.0,152
20417,Microempresarios,El Oro,Femenino,"Agricultura, ganaderia y pesca.",Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,44.0,123
20418,Ciudadano,Esmeraldas,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,24.0,96
20419,Microempresarios,Guayas,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,Si,No,Si,No,Si,Si,Si,No,Si,Si,20.0,117
20420,Microempresarios,Guayas,Femenino,Otras actividades de servicios.,Si,No,No,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,22.0,132
20421,Microempresarios,Manabi,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30.0,44
20422,Artesanos,Azuay,Femenino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,Si,No,Si,No,No,No,Si,Si,No,No,No,41.0,98
20423,Microempresarios,Azuay,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,Si,No,No,40.0,54
20425,Artesanos,Guayas,Masculino,Construccion.,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,33.0,101
20426,Artesanos,Pichincha,Masculino,Industrias manufactureras.,Si,Si,No,No,No,No,No,Si,Si,No,No,No,No,Si,Si,No,Si,No,79.0,53
20427,Microempresarios,Pichincha,Masculino,Actividades de alojamiento y de servicio de comida.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,25.0,68
20429,Ciudadano,Guayas,Femenino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58.0,47
20430,Microempresarios,Azuay,Masculino,Otras actividades de servicios.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51.0,45
20432,Microempresarios,Galapagos,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,25.0,96
20433,Artesanos,Imbabura,Masculino,"Artes, entretenimiento y recreacion.",No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58.0,79
20434,Microempresarios,Carchi,Masculino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,37.0,72
20435,Pyme,Cotopaxi,Femenino,Industrias manufactureras.,Si,No,No,Si,Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,No,No,No,59.0,83
20436,Microempresarios,Galapagos,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46.0,92
20437,Microempresarios,Carchi,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,Si,39.0,71
20438,Microempresarios,Guayas,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,Si,Si,Si,Si,No,Si,Si,Si,No,No,No,38.0,80
20439,Artesanos,Azuay,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,Si,Si,No,Si,No,Si,Si,No,No,No,36.0,102
20440,Microempresarios,Galapagos,Masculino,"Actividades profesionales, cientificas y tecnicas.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.0,99
20441,Microempresarios,Pichincha,Femenino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,No,No,No,Si,No,No,No,No,Si,No,Si,Si,No,No,No,No,64.0,115
20442,Ciudadano,Cotopaxi,Masculino,Otras actividades de servicios.,Si,No,No,No,No,Si,No,Si,Si,Si,Si,No,Si,Si,Si,No,Si,No,31.0,62
20443,Ciudadano,Azuay,Femenino,Ensenanza.,Si,Si,Si,No,No,No,No,No,No,No,No,No,Si,Si,Si,Si,Si,Si,30.0,112
20444,Microempresarios,Carchi,Femenino,Otras actividades de servicios.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,55.0,71
20445,Microempresarios,Carchi,Femenino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,63.0,101
20446,Microempresarios,Azuay,Femenino,nan,Si,No,No,Si,Si,Si,No,Si,Si,No,No,No,Si,Si,Si,No,No,No,38.0,72
20447,Artesanos,El Oro,Masculino,"Artes, entretenimiento y recreacion.",Si,No,No,No,No,No,Si,No,Si,No,No,No,Si,Si,Si,No,No,No,48.0,80
20448,Artesanos,Tungurahua,Femenino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32.0,50
20449,Microempresarios,Santa Elena,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,No,No,No,No,No,No,Si,Si,Si,No,No,No,39.0,90
20450,Artesanos,El Oro,Masculino,"Artes, entretenimiento y recreacion.",No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,Si,56.0,63
20451,Microempresarios,Guayas,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,No,Si,Si,No,Si,No,Si,No,No,No,Si,Si,Si,Si,No,Si,27.0,85
20452,Ciudadano,Loja,Femenino,"Actividades profesionales, cientificas y tecnicas.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,22.0,62
20453,Microempresarios,Santa Elena,Masculino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,26.0,141
20454,Microempresarios,Imbabura,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30.0,60
20455,Microempresarios,Santa Elena,Masculino,Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,26.0,141
20456,Artesanos,El Oro,Femenino,"Artes, entretenimiento y recreacion.",Si,Si,No,No,No,Si,Si,Si,No,Si,Si,No,Si,Si,No,No,No,Si,46.0,101
20457,Artesanos,Chimborazo,Femenino,nan,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,47
20458,Artesanos,El Oro,Femenino,Ensenanza.,Si,Si,Si,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,38.0,125
20459,Ciudadano,Imbabura,Masculino,Informacion y comunicacion.,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,29.0,114
20460,Artesanos,Imbabura,Femenino,"Artes, entretenimiento y recreacion.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60.0,43
20461,Microempresarios,Imbabura,Femenino,"Artes, entretenimiento y recreacion.",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,35.0,104
20462,Microempresarios,Manabi,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,72.0,44
20463,Microempresarios,Guayas,Masculino,Informacion y comunicacion.,Si,Si,Si,No,No,Si,Si,No,No,Si,Si,Si,Si,Si,Si,No,Si,Si,50.0,124
20464,Ciudadano,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,No,No,No,No,No,Si,No,Si,Si,No,No,No,No,Si,No,No,35.0,57
20465,Microempresarios,Imbabura,Femenino,Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45.0,54
20466,Artesanos,Cotopaxi,Masculino,Otras actividades de servicios.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,44.0,48
20467,Microempresarios,Manabi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,28.0,48
20468,Microempresarios,Manabi,Femenino,Actividades de alojamiento y de servicio de comida.,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,54.0,84
20469,Microempresarios,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,Si,No,Si,38.0,118
20470,Artesanos,Chimborazo,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,Si,No,No,No,Si,Si,Si,Si,No,Si,Si,No,Si,Si,Si,30.0,63
20471,Microempresarios,Pastaza,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,30.0,69
20472,Artesanos,Azuay,Masculino,"Agricultura, ganaderia y pesca.",No,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58.0,90
20473,Microempresarios,Imbabura,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,35.0,49
20474,Artesanos,El Oro,Masculino,"Agricultura, ganaderia y pesca.",Si,Si,Si,Si,Si,Si,Si,Si,No,No,No,No,Si,No,Si,Si,Si,No,73.0,161
20475,Artesanos,Azuay,Masculino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,Si,Si,No,No,No,Si,Si,No,Si,No,No,Si,No,23.0,87
20476,Ciudadano,Tungurahua,Femenino,Otras actividades de servicios.,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,28.0,126
20477,Ciudadano,Tungurahua,Femenino,Transporte y almacenamiento.,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,56.0,118
20478,Microempresarios,Santa Elena,Femenino,"Agricultura, ganaderia y pesca.",Si,Si,No,No,Si,Si,No,Si,Si,No,Si,No,Si,Si,Si,No,No,Si,36.0,95
20479,Microempresarios,Pichincha,Femenino,nan,Si,No,No,No,No,No,No,Si,No,No,No,No,No,Si,No,No,No,Si,46.0,56
20480,Microempresarios,Imbabura,Femenino,nan,Si,Si,Si,No,Si,No,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,32.0,91
20481,Artesanos,Imbabura,Femenino,nan,Si,No,No,No,No,No,No,Si,Si,No,Si,No,Si,Si,Si,No,Si,Si,41.0,70
20482,Microempresarios,Manabi,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,73.0,100
20483,Ciudadano,Pichincha,Masculino,"Actividades profesionales, cientificas y tecnicas.",Si,Si,No,Si,No,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,35.0,164
20484,Microempresarios,Santa Elena,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,44.0,53
20485,Microempresarios,Tungurahua,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,Si,No,No,No,No,No,No,No,Si,No,Si,No,Si,50.0,70
20486,Pyme,Imbabura,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,Si,Si,No,No,No,No,Si,Si,Si,No,No,Si,44.0,75
20487,Ciudadano,Imbabura,Femenino,"Agricultura, ganaderia y pesca.",No,No,No,No,No,Si,Si,No,No,Si,No,No,Si,No,No,No,No,No,55.0,92
20488,Pyme,Tungurahua,Masculino,Otras actividades de servicios.,Si,No,No,No,No,No,No,Si,No,No,Si,No,Si,No,No,No,No,No,42.0,96
20489,Microempresarios,Santa Elena,Femenino,Otras actividades de servicios.,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,53.0,81
20490,Artesanos,Pastaza,Femenino,Otras actividades de servicios.,Si,Si,Si,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,44.0,98
20491,Microempresarios,Azuay,Masculino,Actividades de atencion de la salud humana y de asistencia social.,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41.0,47
20492,Microempresarios,Santa Elena,Masculino,Otras actividades de servicios.,Si,No,No,Si,No,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,No,No,Si,51.0,113
20493,Microempresarios,Carchi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,46.0,48
20494,Microempresarios,Chimborazo,Femenino,Otras actividades de servicios.,Si,Si,No,No,No,Si,No,Si,No,Si,Si,No,Si,No,No,No,No,No,44.0,108
20495,Microempresarios,Carchi,Femenino,nan,Si,No,No,Si,No,No,No,Si,Si,No,No,Si,No,No,Si,No,No,No,31.0,118
20496,Artesanos,Pichincha,Femenino,nan,Si,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,33.0,47
20497,Microempresarios,Cotopaxi,Masculino,"Agricultura, ganaderia y pesca.",Si,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,No,29.0,79
20498,Artesanos,El Oro,Femenino,nan,Si,No,No,No,No,No,No,Si,Si,No,No,No,No,No,No,No,No,No,56.0,71
20499,Artesanos,Chimborazo,Femenino,Actividades de alojamiento y de servicio de comida.,Si,No,No,No,No,No,No,No,Si,No,No,No,Si,Si,Si,No,No,No,50.0,51
